"filename", "language", "Go Module File", "Go Checksum File", "Markdown", "Go", "Log", "Shell Script", "SQL", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"/home/zdrastvyetyeh/.g6057/javascript-grit/Javascript-Grit-Projects/rtf/logfiles/forum_2023-06-02_15-10-37.log", "Log", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 1, 70
"/home/zdrastvyetyeh/.g6057/javascript-grit/Javascript-Grit-Projects/rtf/logfiles/forum_2023-06-02_15-20-51.log", "Log", 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 1, 150
"/home/zdrastvyetyeh/.g6057/javascript-grit/Javascript-Grit-Projects/rtf/logfiles/forum_2023-06-02_15-21-48.log", "Log", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 1, 72
"/home/zdrastvyetyeh/.g6057/javascript-grit/Javascript-Grit-Projects/rtf/logfiles/forum_2023-06-02_15-31-02.log", "Log", 0, 0, 0, 0, 219, 0, 0, 0, 0, 0, 0, 1, 220
"/home/zdrastvyetyeh/.g6057/javascript-grit/Javascript-Grit-Projects/rtf/main.go", "Go", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 18, 16, 135
"/home/zdrastvyetyeh/.g6057/javascript-grit/Javascript-Grit-Projects/rtf/testBlockComment.bash", "Shell Script", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 0, 6
"/home/zdrastvyetyeh/.g6057/javascript-grit/Javascript-Grit-Projects/rtf/utility/utility.go", "Go", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 7, 8, 56
"/home/zdrastvyetyeh/.g6057/javascript-grit/Javascript-Grit-Projects/rtf/websocket/handlers.go", "Go", 0, 0, 0, 466, 0, 0, 0, 0, 0, 0, 76, 88, 630
"/home/zdrastvyetyeh/.g6057/javascript-grit/Javascript-Grit-Projects/rtf/websocket/otp.go", "Go", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 4, 12, 63
"/home/zdrastvyetyeh/.g6057/javascript-grit/Javascript-Grit-Projects/rtf/websocket/structs.go", "Go", 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 38, 26, 239
"/home/zdrastvyetyeh/.g6057/javascript-grit/Javascript-Grit-Projects/rtf/websocket/ws-client.go", "Go", 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 39, 26, 194
"/home/zdrastvyetyeh/.g6057/javascript-grit/Javascript-Grit-Projects/rtf/websocket/ws-event.go", "Go", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 7, 36
"/home/zdrastvyetyeh/.g6057/javascript-grit/Javascript-Grit-Projects/rtf/websocket/ws-manager.go", "Go", 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 6, 30, 191
"Total", "-", 9, 10, 26, 1186, 1318, 33, 154, 122, 319, 898, 380, 477, 4932
